Component,Origin,License,Copyright
Datadog iOS SDK,GitHub,Apache-2.0,Copyright (c) Datadog Inc.
OpenFeature Swift SDK,GitHub,Apache-2.0,Copyright (c) The OpenFeature Contributors
PLCrashReporter,GitHub,MIT,Copyright (c) Microsoft Corporation
OpenTelemetry Swift Packages,GitHub,Apache-2.0,Copyright (c) The OpenTelemetry Contributors
